Color,Pawn,X,Y,Turn
blue,1,2,2,0
orange,3,0,2,1
blue,3,0,1,2
orange,3,2,4,3
blue,1,1,1,4
orange,3,0,2,5
blue,3,1,2,6
orange,1,3,1,7
blue,3,3,4,8
orange,1,2,0,9
blue,1,0,0,10
orange,1,4,2,11
blue,2,1,2,12
orange,1,2,0,13
blue,1,3,3,14
orange,3,2,4,15
blue,1,4,2,16
orange,1,3,1,17
blue,1,2,0,18
orange,3,3,3,19
blue,1,1,1,20
orange,1,2,2,21
blue,1,0,0,22
orange,3,2,4,23
blue,2,3,1,24
orange,3,3,3,25
blue,3,4,3,26
orange,3,1,1,27
blue,1,4,4,28
orange,2,2,3,29
blue,1,3,4,30
orange,2,4,2,31
blue,2,4,3,32
orange,1,4,0,33
blue,3,2,1,34
orange,1,0,4,35
blue,3,0,3,36
orange,2,2,1,37
blue,1,0,1,38
orange,3,0,2,39
blue,3,1,2,40
orange,3,1,3,41
blue,2,0,0,42
orange,3,0,2,43
blue,1,2,3,44
orange,3,1,1,45
blue,3,3,4,46
orange,3,2,0,47
blue,1,4,1,48
orange,1,3,1,49
blue,1,1,4,50
orange,3,0,2,51
blue,3,1,2,52
orange,1,1,3,53
blue,1,2,3,54
orange,2,4,2,55
blue,1,3,2,56
orange,2,3,0,57
blue,1,2,3,58
orange,2,4,2,59
blue,3,2,1,60
orange,3,2,0,61
blue,3,3,2,62
orange,1,3,1,63
blue,2,1,2,64
orange,2,3,4,65
blue,1,1,4,66
orange,1,4,2,67
