Color,Pawn,X,Y,Turn
blue,1,4,3,0
orange,2,1,2,1
blue,3,4,2,2
orange,2,2,4,3
blue,1,3,2,4
orange,3,4,3,5
blue,3,3,3,6
orange,3,3,4,7
blue,2,1,2,8
orange,1,0,3,9
blue,2,3,3,10
orange,3,2,3,11
blue,1,2,1,12
orange,3,0,1,13
blue,2,4,1,14
orange,3,2,3,15
blue,3,2,2,16
orange,2,4,3,17
blue,3,0,4,18
orange,1,1,4,19
blue,3,2,2,20
orange,3,1,2,21
blue,3,4,0,22
orange,1,2,3,23
blue,1,0,3,24
orange,2,2,2,25
blue,2,3,3,26
orange,1,1,2,27
blue,2,1,4,28
orange,2,3,4,29
blue,3,3,1,30
orange,3,2,3,31
blue,3,4,2,32
orange,2,1,3,33
blue,2,3,3,34
orange,2,2,1,35
blue,2,1,2,36
orange,2,0,2,37
blue,3,3,3,38
orange,2,1,4,39
blue,3,4,2,40
orange,3,4,1,41
blue,3,2,4,42
orange,1,3,2,43
blue,2,3,3,44
orange,3,3,0,45
blue,1,2,1,46
orange,3,4,1,47
blue,1,4,3,48
orange,2,0,2,49
blue,3,1,3,50
orange,1,2,3,51
blue,1,1,0,52
orange,1,1,4,53
blue,1,0,1,54
orange,2,1,0,55
blue,1,2,3,56
orange,2,0,2,57
blue,2,2,1,58
orange,3,3,0,59
blue,3,4,0,60
orange,3,4,1,61
blue,1,1,2,62
orange,3,3,0,63
blue,1,0,3,64
orange,3,4,1,65
blue,2,1,3,66
orange,2,2,1,67
blue,1,2,1,68
orange,2,3,3,69
