Color,Pawn,X,Y,Turn
blue,3,2,1,0
orange,2,2,2,1
blue,3,0,3,2
orange,1,1,1,3
blue,1,4,2,4
orange,2,4,3,5
blue,3,1,2,6
orange,1,0,0,7
blue,3,0,1,8
orange,2,3,1,9
blue,3,3,4,10
orange,2,1,0,11
blue,1,2,0,12
orange,1,3,3,13
blue,3,2,3,14
orange,1,4,2,15
blue,2,1,2,16
orange,3,1,3,17
blue,1,3,1,18
orange,3,2,4,19
blue,2,0,4,20
orange,3,0,2,21
blue,1,0,4,22
orange,2,0,2,23
blue,2,2,3,24
orange,1,3,3,25
blue,1,4,1,26
orange,1,2,2,27
blue,3,3,2,28
orange,1,1,1,29
blue,1,1,4,30
orange,2,1,0,31
blue,1,4,1,32
orange,2,3,1,33
blue,3,2,3,34
orange,1,2,0,35
blue,1,2,3,36
orange,2,1,0,37
blue,3,3,2,38
orange,1,1,1,39
blue,2,2,4,40
orange,2,3,1,41
blue,2,3,2,42
orange,3,1,3,43
blue,1,2,3,44
orange,1,0,2,45
blue,1,3,2,46
orange,2,1,0,47
blue,2,4,4,48
orange,3,0,4,49
blue,3,2,3,50
orange,1,1,1,51
blue,2,2,3,52
orange,3,1,3,53
blue,1,4,1,54
orange,1,2,2,55
blue,1,3,2,56
orange,3,2,4,57
blue,1,1,4,58
orange,2,3,1,59
blue,1,2,3,60
orange,1,0,0,61
blue,2,0,4,62
orange,2,1,2,63
blue,2,2,3,64
orange,2,0,4,65
blue,2,4,2,66
orange,3,3,3,67
blue,3,3,4,68
orange,2,2,3,69
blue,2,3,4,70
orange,1,1,1,71
blue,3,0,1,72
orange,2,0,2,73
blue,3,1,2,74
orange,3,2,4,75
blue,3,2,1,76
orange,1,2,2,77
blue,3,3,2,78
orange,1,1,3,79
blue,2,2,0,80
orange,1,3,1,81
blue,3,4,1,82
orange,1,0,4,83
blue,2,4,1,84
orange,2,1,0,85
blue,2,2,0,86
orange,3,0,2,87
blue,2,4,1,88
orange,2,3,1,89
blue,2,2,2,90
orange,2,2,3,91
blue,3,3,2,92
orange,2,3,1,93
blue,3,1,0,94
orange,3,2,4,95
blue,2,1,4,96
orange,2,1,0,97
blue,3,3,2,98
orange,2,4,0,99
blue,3,2,3,100
orange,3,4,2,101
blue,1,2,3,102
orange,2,2,1,103
blue,1,1,4,104
orange,3,3,1,105
blue,2,3,3,106
orange,1,2,2,107
blue,3,0,1,108
orange,1,0,4,109
blue,3,1,0,110
orange,1,1,3,111
blue,3,4,3,112
orange,2,0,0,113
blue,3,1,0,114
orange,3,2,2,115
blue,3,2,1,116
orange,3,1,1,117
blue,3,3,0,118
orange,1,2,4,119
blue,3,0,3,120
orange,1,0,2,121
blue,3,1,2,122
orange,3,2,0,123
blue,2,1,2,124
orange,3,1,1,125
blue,1,0,3,126
orange,3,3,3,127
blue,1,1,2,128
orange,2,2,1,129
blue,1,2,1,130
orange,2,4,2,131
blue,2,0,4,132
orange,1,1,1,133
blue,3,0,1,134
orange,1,0,0,135
blue,2,1,2,136
orange,1,1,1,137
blue,2,3,1,138
orange,2,3,0,139
blue,2,1,0,140
orange,1,4,4,141
blue,2,2,2,142
orange,1,1,1,143
blue,2,1,0,144
orange,3,2,4,145
blue,1,0,3,146
orange,3,4,2,147
blue,3,1,2,148
orange,2,4,2,149
blue,3,3,4,150
orange,2,2,3,151
blue,1,2,1,152
orange,2,4,2,153
blue,1,3,0,154
orange,3,2,4,155
blue,3,4,3,156
orange,1,3,3,157
blue,3,3,2,158
orange,1,0,0,159
blue,2,3,1,160
orange,3,3,3,161
blue,1,4,1,162
orange,3,2,4,163
blue,2,4,3,164
orange,3,1,3,165
blue,2,2,4,166
orange,3,2,2,167
blue,2,3,2,168
orange,3,0,4,169
blue,2,4,4,170
orange,1,3,3,171
blue,2,3,2,172
orange,1,2,4,173
blue,2,2,0,174
orange,1,0,2,175
blue,2,3,2,176
orange,3,4,0,177
blue,1,3,2,178
orange,3,1,3,179
blue,3,2,3,180
orange,1,1,3,181
blue,2,4,2,182
orange,1,3,1,183
blue,2,2,3,184
orange,1,1,3,185
blue,3,3,2,186
orange,2,3,4,187
blue,3,1,0,188
orange,3,4,0,189
blue,2,3,1,190
orange,2,4,2,191
blue,3,0,1,192
orange,2,3,4,193
blue,3,2,3,194
orange,1,1,2,195
blue,3,4,1,196
orange,2,4,2,197
blue,1,0,4,198
orange,1,2,3,199
blue,1,4,0,200
orange,1,0,1,201
blue,1,2,2,202
orange,2,2,3,203
blue,1,0,4,204
orange,1,1,2,205
blue,3,3,2,206
orange,2,4,2,207
blue,3,4,1,208
orange,1,2,3,209
blue,2,1,2,210
orange,1,4,1,211
blue,2,3,3,212
orange,1,2,3,213
blue,2,2,1,214
orange,3,2,2,215
blue,2,0,2,216
orange,2,2,1,217
blue,1,1,3,218
orange,1,4,1,219
blue,3,1,4,220
orange,1,2,3,221
blue,1,2,4,222
orange,3,3,3,223
blue,1,0,2,224
orange,3,4,4,225
blue,1,1,3,226
orange,2,4,2,227
blue,2,1,0,228
orange,3,0,0,229
blue,1,3,1,230
orange,3,1,1,231
blue,2,0,2,232
orange,3,2,0,233
blue,1,4,0,234
orange,1,0,1,235
blue,2,2,1,236
orange,1,1,0,237
blue,3,2,3,238
orange,1,0,1,239
blue,1,2,2,240
orange,2,2,3,241
blue,2,4,0,242
orange,3,0,2,243
blue,3,1,2,244
orange,3,1,3,245
blue,3,3,0,246
orange,2,1,1,247
blue,3,4,1,248
orange,3,2,4,249
blue,3,2,3,250
orange,2,3,2,251
blue,3,1,4,252
orange,1,3,4,253
blue,1,4,0,254
orange,1,2,3,255
blue,3,0,3,256
orange,1,3,2,257
blue,3,2,1,258
orange,2,1,1,259
blue,3,3,2,260
orange,1,3,3,261
blue,3,2,1,262
orange,2,2,3,263
blue,2,2,1,264
orange,2,0,2,265
blue,3,3,2,266
orange,1,2,4,267
blue,3,2,3,268
orange,3,4,2,269
blue,3,4,1,270
orange,3,3,1,271
blue,3,3,0,272
orange,1,4,0,273
blue,1,4,1,274
orange,3,4,2,275
blue,1,3,0,276
orange,3,2,4,277
blue,2,2,2,278
orange,3,4,2,279
blue,3,2,1,280
orange,3,3,1,281
blue,3,3,0,282
orange,2,2,3,283
blue,3,0,3,284
orange,2,4,4,285
blue,2,1,4,286
orange,3,4,2,287
blue,1,2,3,288
orange,3,2,4,289
blue,1,1,4,290
orange,3,1,3,291
blue,1,2,3,292
orange,2,3,2,293
blue,1,3,4,294
orange,2,1,3,295
blue,1,2,3,296
orange,2,3,4,297
blue,3,3,0,298
orange,1,1,3,299
blue,3,2,1,300
orange,2,2,2,301
blue,3,1,0,302
orange,2,3,4,303
blue,1,3,2,304
orange,1,0,4,305
blue,3,2,1,306
orange,3,2,4,307
blue,1,2,3,308
orange,2,1,3,309
blue,3,1,2,310
orange,2,3,4,311
blue,1,1,4,312
orange,1,4,0,313
blue,2,2,2,314
orange,1,3,1,315
blue,3,0,1,316
orange,1,4,2,317
blue,3,1,2,318
orange,2,1,3,319
blue,3,2,1,320
orange,1,3,1,321
blue,2,1,4,322
orange,1,4,0,323
blue,3,3,2,324
orange,3,3,3,325
blue,1,4,1,326
orange,3,0,0,327
blue,3,2,1,328
orange,1,0,4,329
blue,1,1,4,330
orange,1,1,3,331
blue,3,1,0,332
orange,1,4,0,333
blue,1,4,1,334
orange,3,2,2,335
blue,1,2,3,336
orange,1,2,2,337
blue,3,0,1,338
orange,2,0,1,339
blue,2,0,2,340
orange,3,3,3,341
blue,3,1,2,342
orange,2,3,1,343
blue,2,1,4,344
orange,3,2,2,345
blue,1,1,4,346
orange,3,4,4,347
blue,3,0,1,348
orange,2,1,0,349
blue,3,2,3,350
orange,1,2,2,351
blue,3,0,1,352
orange,3,3,3,353
blue,1,3,2,354
orange,1,3,3,355
blue,1,2,3,356
orange,1,2,2,357
blue,1,4,1,358
orange,2,3,1,359
blue,1,3,2,360
orange,2,4,3,361
blue,1,1,4,362
orange,3,1,1,363
blue,2,0,2,364
orange,1,3,3,365
blue,3,1,0,366
orange,1,1,1,367
blue,3,0,1,368
orange,1,4,4,369
blue,2,1,4,370
orange,1,2,2,371
blue,2,0,2,372
orange,1,1,1,373
blue,3,3,4,374
orange,2,3,1,375
blue,3,4,3,376
orange,3,2,0,377
blue,3,3,4,378
orange,1,4,2,379
blue,2,1,4,380
orange,1,3,1,381
blue,3,4,3,382
orange,2,4,3,383
blue,3,3,4,384
orange,1,1,2,385
blue,1,4,1,386
orange,1,3,4,387
blue,1,3,2,388
orange,3,3,1,389
blue,3,2,3,390
orange,3,0,4,391
blue,3,0,1,392
orange,1,2,3,393
blue,3,1,2,394
orange,2,3,3,395
blue,3,0,3,396
orange,2,2,1,397
blue,2,2,2,398
orange,1,1,2,399
blue,2,1,0,400
orange,1,3,0,401
blue,1,1,4,402
orange,3,2,2,403
blue,2,2,2,404
orange,3,0,0,405
blue,2,1,2,406
orange,2,3,3,407
blue,1,4,1,408
orange,2,1,4,409
blue,2,2,4,410
orange,3,1,1,411
blue,2,3,2,412
orange,3,4,4,413
blue,2,4,0,414
orange,2,2,2,415
blue,2,2,1,416
orange,1,2,1,417
blue,1,3,0,418
orange,2,0,3,419
blue,2,0,2,420
orange,1,2,0,421
blue,2,2,3,422
orange,1,3,1,423
blue,2,4,2,424
orange,2,2,4,425
blue,3,2,1,426
orange,1,2,0,427
blue,2,2,1,428
orange,2,1,2,429
blue,1,0,3,430
orange,1,3,1,431
blue,1,2,1,432
orange,1,1,3,433
blue,3,4,3,434
orange,1,0,2,435
blue,1,3,2,436
orange,1,1,1,437
blue,1,4,3,438
orange,2,2,4,439
blue,2,2,2,440
orange,2,0,3,441
blue,3,1,0,442
orange,1,2,0,443
blue,2,1,0,444
orange,1,1,1,445
blue,2,3,1,446
orange,1,2,0,447
blue,2,1,0,448
orange,2,2,4,449
blue,3,4,3,450
orange,2,3,2,451
blue,2,3,1,452
orange,1,4,2,453
blue,3,1,0,454
orange,1,2,4,455
blue,2,1,0,456
orange,2,2,0,457
blue,3,0,1,458
orange,3,3,3,459
blue,3,2,3,460
orange,3,4,2,461
blue,2,3,1,462
orange,2,3,2,463
blue,3,1,2,464
orange,1,4,2,465
blue,3,2,3,466
orange,2,1,3,467
blue,3,1,2,468
orange,1,2,0,469
blue,3,2,3,470
orange,2,0,1,471
blue,3,1,2,472
orange,2,1,3,473
blue,3,2,3,474
orange,2,3,4,475
blue,3,1,2,476
orange,2,1,3,477
blue,2,1,2,478
orange,3,3,1,479
blue,2,3,3,480
orange,1,0,2,481
blue,3,0,3,482
orange,3,2,2,483
blue,2,1,4,484
orange,2,3,2,485
blue,1,3,2,486
orange,3,1,1,487
blue,1,2,3,488
orange,2,2,0,489
blue,3,3,0,490
orange,1,1,1,491
blue,3,1,2,492
orange,1,0,2,493
blue,3,0,3,494
orange,3,0,0,495
blue,3,2,1,496
orange,2,0,1,497
blue,3,1,2,498
orange,2,1,3,499
blue,3,0,3,500
orange,2,3,4,501
blue,1,3,2,502
orange,1,2,0,503
blue,1,1,4,504
orange,2,1,3,505
blue,1,0,3,506
orange,2,0,1,507
blue,1,1,4,508
orange,3,3,3,509
blue,3,3,0,510
orange,1,0,2,511
blue,1,3,2,512
orange,1,2,0,513
blue,3,4,1,514
orange,3,2,2,515
blue,1,2,3,516
orange,2,2,2,517
blue,3,3,2,518
orange,2,3,0,519
blue,3,2,1,520
orange,3,1,1,521
blue,1,4,1,522
orange,3,3,3,523
blue,3,1,2,524
orange,1,3,1,525
blue,1,2,3,526
orange,1,2,0,527
blue,3,0,3,528
orange,3,4,2,529
blue,3,2,1,530
orange,2,1,1,531
blue,3,0,3,532
orange,1,3,1,533
blue,3,2,1,534
orange,1,2,0,535
blue,3,3,2,536
orange,3,2,4,537
blue,1,4,1,538
orange,3,3,3,539
blue,1,3,2,540
orange,2,0,3,541
blue,1,4,1,542
orange,1,1,1,543
blue,3,4,3,544
orange,1,3,3,545
blue,1,1,4,546
orange,3,0,0,547
blue,2,2,2,548
orange,2,1,1,549
blue,3,1,0,550
orange,1,1,1,551
blue,2,1,4,552
orange,3,2,2,553
blue,3,4,3,554
orange,3,3,1,555
blue,2,3,3,556
orange,2,3,0,557
blue,3,3,4,558
orange,2,2,2,559
blue,3,2,3,560
orange,2,3,4,561
blue,3,3,2,562
orange,2,2,2,563
blue,2,1,4,564
orange,1,4,0,565
blue,3,4,1,566
orange,2,4,1,567
blue,1,2,3,568
orange,3,4,2,569
blue,2,3,3,570
orange,1,1,3,571
blue,2,2,1,572
orange,2,2,0,573
blue,1,3,4,574
orange,3,3,3,575
blue,2,3,3,576
orange,2,0,1,577
blue,2,2,1,578
orange,2,2,2,579
blue,2,4,2,580
orange,1,0,4,581
blue,1,2,3,582
orange,2,1,0,583
blue,2,3,4,584
orange,3,1,1,585
blue,1,3,4,586
orange,2,3,1,587
blue,2,2,2,588
orange,3,4,4,589
blue,3,3,0,590
orange,1,1,3,591
blue,3,1,2,592
orange,3,3,3,593
blue,2,1,4,594
orange,1,4,0,595
blue,2,3,3,596
orange,2,1,0,597
blue,3,3,0,598
orange,1,3,1,599
blue,3,4,1,600
orange,1,0,4,601
blue,3,3,0,602
orange,2,2,2,603
blue,2,1,4,604
orange,3,4,4,605
blue,2,3,3,606
orange,2,4,3,607
blue,3,4,1,608
orange,3,0,0,609
blue,2,1,4,610
orange,2,2,2,611
blue,1,2,3,612
orange,2,1,0,613
blue,3,3,0,614
orange,3,3,3,615
blue,3,1,2,616
orange,3,4,4,617
blue,3,2,1,618
orange,1,1,3,619
blue,3,1,2,620
orange,1,0,2,621
blue,3,2,1,622
orange,3,3,3,623
blue,3,1,2,624
orange,3,2,2,625
blue,3,2,1,626
orange,3,3,1,627
blue,1,3,2,628
orange,3,0,4,629
blue,3,0,3,630
orange,3,4,0,631
blue,3,3,0,632
orange,3,2,2,633
blue,1,1,4,634
orange,3,4,0,635
blue,1,2,3,636
orange,1,1,3,637
blue,3,0,3,638
orange,1,3,1,639
blue,3,3,0,640
orange,1,4,2,641
blue,1,1,4,642
orange,3,2,2,643
blue,2,3,3,644
orange,3,3,1,645
blue,3,1,2,646
orange,1,3,1,647
blue,3,3,0,648
orange,1,1,3,649
blue,1,2,4,650
orange,3,4,2,651
blue,1,3,3,652
orange,1,3,1,653
blue,3,0,3,654
orange,1,2,0,655
blue,3,3,0,656
orange,2,0,2,657
blue,3,4,1,658
orange,1,0,2,659
blue,2,4,1,660
orange,1,1,1,661
blue,3,2,3,662
orange,1,2,0,663
blue,3,3,4,664
orange,2,2,3,665
blue,3,4,3,666
orange,1,0,2,667
blue,3,3,4,668
orange,1,2,0,669
blue,3,4,3,670
orange,1,4,2,671
blue,3,2,1,672
orange,1,2,4,673
blue,3,1,0,674
orange,1,3,3,675
blue,1,2,1,676
orange,2,1,1,677
blue,3,4,3,678
orange,1,4,2,679
blue,1,3,2,680
orange,3,2,4,681
blue,3,2,1,682
orange,1,4,2,683
blue,1,2,1,684
orange,2,3,0,685
blue,1,3,0,686
orange,3,3,3,687
blue,1,0,3,688
orange,1,3,3,689
blue,1,1,2,690
orange,3,4,4,691
blue,1,3,0,692
orange,2,2,2,693
blue,2,3,3,694
orange,2,4,3,695
blue,1,2,1,696
orange,2,2,4,697
blue,1,1,2,698
orange,1,2,2,699
blue,2,2,1,700
orange,1,4,0,701
blue,1,2,1,702
orange,1,0,4,703
blue,3,3,2,704
orange,2,1,2,705
blue,3,4,3,706
orange,1,3,1,707
blue,1,3,4,708
orange,1,4,0,709
blue,1,4,3,710
orange,3,2,2,711
blue,1,2,1,712
orange,3,0,4,713
blue,2,2,4,714
orange,3,2,2,715
blue,2,4,3,716
orange,2,0,0,717
blue,3,3,2,718
orange,3,0,4,719
blue,3,1,0,720
orange,3,2,2,721
blue,1,1,0,722
orange,3,1,1,723
blue,2,3,1,724
orange,2,2,1,725
blue,2,1,0,726
orange,1,1,3,727
blue,1,0,1,728
orange,3,4,4,729
blue,1,1,0,730
orange,2,0,0,731
blue,2,3,1,732
orange,1,0,2,733
blue,3,4,3,734
orange,1,1,3,735
blue,2,4,3,736
orange,1,0,2,737
blue,1,3,2,738
orange,1,2,4,739
blue,1,4,3,740
orange,3,1,1,741
blue,3,3,4,742
orange,3,3,3,743
blue,3,2,3,744
orange,3,2,2,745
blue,1,3,4,746
orange,2,2,1,747
blue,1,2,3,748
orange,2,4,2,749
blue,1,3,2,750
orange,1,4,2,751
blue,3,1,2,752
orange,1,2,4,753
blue,3,2,1,754
orange,2,3,0,755
blue,3,1,0,756
orange,3,3,3,757
blue,1,1,0,758
orange,2,4,2,759
blue,3,0,1,760
orange,3,2,2,761
blue,1,1,0,762
orange,3,1,1,763
blue,1,0,1,764
orange,3,2,2,765
blue,3,1,2,766
orange,3,0,4,767
blue,2,2,0,768
orange,3,1,3,769
blue,2,1,2,770
orange,3,0,2,771
blue,1,0,1,772
orange,2,2,1,773
blue,1,3,4,774
orange,2,0,2,775
blue,1,1,2,776
orange,2,1,4,777
blue,3,0,3,778
orange,3,1,3,779
blue,1,1,2,780
orange,3,4,0,781
blue,1,0,3,782
orange,3,2,2,783
blue,3,3,0,784
orange,1,0,2,785
blue,1,2,1,786
orange,1,1,3,787
blue,2,2,2,788
