Color,Pawn,X,Y,Turn
blue,1,1,1,0
orange,2,4,3,1
blue,3,1,2,2
orange,3,0,3,3
blue,1,2,2,4
orange,3,1,4,5
blue,1,0,4,6
orange,2,2,4,7
blue,3,0,1,8
orange,3,4,1,9
blue,1,1,3,10
orange,1,0,0,11
blue,2,2,2,12
orange,1,1,1,13
blue,1,4,0,14
orange,1,3,3,15
blue,2,3,4,16
orange,2,3,2,17
blue,3,2,3,18
orange,2,1,1,19
blue,3,3,2,20
orange,2,0,3,21
blue,1,3,1,22
orange,1,0,0,23
blue,1,1,3,24
orange,1,4,4,25
blue,3,2,1,26
orange,2,2,4,27
blue,1,2,2,28
orange,2,3,2,29
blue,3,3,0,30
orange,1,3,3,31
blue,3,0,3,32
orange,1,4,2,33
blue,1,4,0,34
orange,2,2,4,35
blue,1,1,3,36
orange,1,3,1,37
blue,3,3,0,38
orange,2,1,2,39
blue,3,2,1,40
orange,1,4,0,41
blue,1,2,4,42
orange,3,1,4,43
blue,3,4,3,44
orange,1,1,3,45
blue,2,4,2,46
orange,1,3,1,47
blue,1,4,2,48
orange,3,0,3,49
blue,1,2,4,50
orange,1,1,3,51
blue,3,3,4,52
orange,1,4,0,53
blue,1,3,3,54
orange,1,1,3,55
blue,2,3,4,56
orange,3,1,4,57
blue,1,0,0,58
orange,2,0,4,59
blue,1,4,4,60
orange,1,0,4,61
blue,2,1,3,62
orange,3,4,1,63
blue,1,0,0,64
orange,2,2,3,65
blue,2,3,2,66
orange,1,1,2,67
blue,2,1,3,68
orange,1,2,1,69
blue,1,1,1,70
orange,2,4,2,71
blue,3,4,3,72
orange,2,3,0,73
blue,1,0,0,74
orange,1,3,2,75
blue,3,3,4,76
orange,2,1,1,77
blue,3,0,1,78
orange,1,1,4,79
blue,2,3,4,80
orange,2,3,2,81
blue,3,1,2,82
orange,1,2,3,83
blue,3,0,3,84
orange,1,4,1,85
blue,3,2,1,86
orange,3,3,0,87
blue,3,1,0,88
orange,1,2,1,89
blue,2,2,2,90
orange,1,3,2,91
blue,3,0,1,92
orange,3,4,1,93
blue,1,1,1,94
orange,2,1,3,95
blue,2,1,0,96
orange,3,3,2,97
blue,2,2,2,98
orange,1,3,1,99
blue,1,2,2,100
orange,3,4,1,101
blue,3,1,0,102
orange,3,2,3,103
blue,3,0,1,104
orange,2,0,1,105
blue,3,1,2,106
orange,2,2,0,107
blue,2,3,0,108
orange,1,2,0,109
blue,2,4,2,110
orange,2,4,1,111
blue,2,3,0,112
orange,2,2,2,113
blue,2,4,2,114
orange,1,1,1,115
blue,1,3,1,116
orange,2,4,3,117
blue,1,0,4,118
orange,1,3,3,119
blue,1,2,2,120
orange,1,4,2,121
blue,1,3,1,122
orange,1,2,4,123
blue,3,3,0,124
orange,3,1,2,125
blue,1,4,2,126
orange,1,0,2,127
blue,1,3,1,128
orange,2,2,2,129
blue,1,2,0,130
orange,2,1,0,131
blue,2,3,0,132
orange,3,2,1,133
blue,2,1,1,134
orange,1,1,1,135
blue,1,4,2,136
orange,3,0,3,137
blue,2,3,0,138
orange,1,4,1,139
blue,2,1,1,140
orange,1,3,0,141
blue,2,2,3,142
orange,2,0,2,143
blue,3,1,2,144
orange,2,2,1,145
blue,2,3,1,146
orange,1,3,0,147
blue,3,3,4,148
orange,1,2,1,149
blue,2,2,3,150
orange,1,3,2,151
blue,1,3,3,152
orange,1,1,4,153
blue,1,4,2,154
orange,3,1,2,155
blue,1,3,1,156
orange,3,0,3,157
blue,2,0,2,158
orange,2,4,0,159
blue,2,2,3,160
orange,1,2,3,161
blue,1,2,2,162
orange,3,3,0,163
blue,1,4,4,164
orange,1,3,2,165
blue,2,0,2,166
orange,1,4,1,167
blue,1,3,3,168
orange,2,2,1,169
blue,1,4,2,170
orange,1,3,0,171
blue,1,2,4,172
orange,1,4,1,173
blue,3,1,2,174
orange,1,3,0,175
blue,1,0,2,176
orange,2,3,3,177
blue,3,2,1,178
orange,1,2,1,179
blue,3,3,2,180
orange,3,1,2,181
blue,2,2,1,182
orange,1,1,0,183
blue,2,1,3,184
orange,3,2,3,185
blue,1,2,2,186
orange,3,0,1,187
blue,1,4,4,188
orange,3,1,2,189
blue,3,2,3,190
orange,1,0,1,191
blue,3,4,1,192
orange,2,2,1,193
blue,1,3,3,194
orange,1,2,3,195
blue,2,0,1,196
orange,1,3,2,197
blue,2,2,2,198
orange,1,1,4,199
blue,1,1,1,200
orange,1,4,1,201
blue,1,0,2,202
orange,2,1,3,203
blue,3,3,0,204
orange,1,4,1,205
blue,2,3,0,206
orange,1,1,4,207
blue,1,1,1,208
orange,2,2,1,209
blue,1,0,0,210
orange,2,3,3,211
blue,2,2,2,212
orange,2,2,1,213
blue,2,4,3,214
orange,2,1,3,215
blue,2,2,2,216
orange,2,3,4,217
blue,2,3,0,218
orange,1,2,3,219
blue,2,1,1,220
orange,3,0,3,221
blue,1,1,1,222
orange,3,1,4,223
blue,2,3,2,224
orange,2,2,2,225
blue,1,1,0,226
orange,1,3,2,227
blue,3,4,1,228
orange,2,3,0,229
blue,2,2,0,230
orange,1,3,1,231
blue,2,3,2,232
orange,3,2,3,233
blue,2,2,4,234
orange,2,2,2,235
blue,1,2,1,236
orange,2,4,3,237
blue,1,4,3,238
orange,3,1,2,239
blue,1,1,0,240
orange,3,3,0,241
