Color,Pawn,X,Y,Turn
blue,1,4,3,0
orange,2,4,2,1
blue,1,3,4,2
orange,1,0,3,3
blue,1,1,2,4
orange,3,2,2,5
blue,1,2,3,6
orange,1,2,1,7
blue,2,3,2,8
orange,1,3,2,9
blue,1,0,1,10
orange,2,2,3,11
blue,2,4,0,12
orange,1,2,2,13
blue,2,2,1,14
orange,2,4,4,15
blue,1,1,0,16
orange,1,1,3,17
blue,2,0,2,18
orange,1,2,2,19
blue,1,2,1,20
orange,3,3,1,21
blue,1,1,2,22
orange,3,2,2,23
blue,1,3,0,24
orange,3,3,1,25
blue,2,1,4,26
orange,1,4,0,27
blue,3,0,2,28
orange,1,0,4,29
blue,2,2,2,30
orange,2,3,2,31
blue,2,1,0,32
orange,1,2,2,33
blue,2,3,1,34
orange,1,0,0,35
blue,2,1,0,36
orange,3,1,3,37
blue,1,0,3,38
orange,3,3,1,39
blue,2,2,2,40
orange,3,4,0,41
blue,2,4,3,42
orange,3,0,4,43
blue,3,2,0,44
orange,3,2,2,45
blue,2,2,4,46
orange,1,2,2,47
blue,3,0,2,48
orange,3,1,1,49
blue,2,4,3,50
orange,3,2,2,51
blue,3,1,1,52
orange,2,1,1,53
blue,3,0,2,54
orange,1,0,0,55
blue,2,2,4,56
orange,3,3,1,57
blue,2,3,2,58
orange,2,2,3,59
blue,2,1,3,60
orange,3,2,2,61
blue,2,2,1,62
orange,3,1,3,63
blue,2,1,3,64
orange,1,2,2,65
blue,2,3,2,66
orange,2,1,1,67
blue,2,2,4,68
orange,1,4,0,69
blue,2,3,2,70
orange,1,3,1,71
blue,1,1,4,72
orange,3,2,4,73
blue,2,2,0,74
orange,2,0,3,75
blue,2,4,1,76
orange,1,4,0,77
blue,2,2,2,78
orange,3,1,3,79
blue,2,1,0,80
orange,1,0,4,81
blue,2,2,2,82
orange,3,2,4,83
blue,2,4,3,84
orange,2,2,4,85
blue,2,3,1,86
orange,3,3,3,87
blue,2,1,2,88
orange,2,2,1,89
blue,2,2,0,90
orange,3,2,2,91
blue,2,1,2,92
orange,3,1,3,93
blue,2,2,0,94
orange,2,0,2,95
blue,2,1,2,96
orange,3,2,4,97
blue,2,2,0,98
orange,3,1,3,99
blue,2,1,2,100
orange,2,1,0,101
blue,2,2,0,102
orange,3,2,2,103
blue,2,1,2,104
orange,3,3,1,105
blue,2,2,0,106
orange,3,2,2,107
blue,1,3,2,108
orange,3,1,1,109
blue,1,4,3,110
orange,3,0,0,111
blue,2,1,2,112
orange,2,2,2,113
blue,2,2,0,114
orange,2,4,1,115
blue,3,2,4,116
orange,3,2,2,117
blue,2,1,2,118
orange,3,1,3,119
blue,2,2,0,120
orange,3,4,0,121
blue,2,1,2,122
orange,1,3,1,123
blue,2,2,0,124
orange,1,1,3,125
blue,2,1,2,126
orange,1,0,2,127
blue,2,0,4,128
orange,3,3,1,129
blue,2,2,3,130
orange,1,2,4,131
blue,1,1,0,132
orange,2,3,3,133
blue,1,0,1,134
orange,3,1,3,135
blue,1,1,2,136
orange,1,3,3,137
blue,1,0,3,138
orange,2,2,1,139
blue,1,1,2,140
orange,2,4,2,141
blue,1,0,1,142
orange,2,3,0,143
blue,1,1,2,144
orange,3,3,1,145
blue,1,0,1,146
orange,3,4,2,147
blue,1,1,0,148
orange,2,4,2,149
blue,1,0,1,150
orange,1,3,3,151
blue,1,1,0,152
orange,1,1,1,153
blue,3,1,3,154
orange,1,3,3,155
blue,1,0,1,156
orange,2,2,1,157
blue,3,2,2,158
orange,2,4,0,159
blue,1,1,0,160
orange,1,1,1,161
blue,2,0,4,162
orange,1,3,3,163
blue,1,2,1,164
orange,1,2,2,165
blue,1,0,3,166
orange,3,3,3,167
blue,3,0,0,168
orange,1,2,2,169
blue,3,1,1,170
orange,3,4,4,171
blue,3,0,0,172
orange,1,4,0,173
blue,2,2,3,174
orange,2,3,2,175
blue,2,1,1,176
orange,1,2,3,177
blue,1,1,4,178
orange,1,4,1,179
blue,2,3,0,180
orange,2,2,4,181
blue,2,4,2,182
orange,1,2,3,183
blue,2,2,1,184
orange,3,3,3,185
blue,2,0,0,186
orange,1,4,1,187
blue,3,1,1,188
orange,2,1,2,189
blue,1,2,3,190
orange,3,2,2,191
blue,1,1,2,192
orange,2,2,4,193
blue,1,1,3,194
orange,1,2,3,195
blue,1,0,4,196
orange,3,4,0,197
blue,1,3,1,198
orange,2,1,2,199
blue,1,1,3,200
orange,1,3,2,201
blue,1,0,2,202
orange,1,1,4,203
blue,1,1,3,204
orange,1,2,3,205
blue,1,0,2,206
orange,1,3,2,207
blue,1,1,3,208
orange,2,2,0,209
blue,1,0,2,210
orange,1,4,3,211
blue,1,1,3,212
orange,1,1,0,213
blue,1,0,2,214
orange,1,2,1,215
blue,1,1,1,216
orange,2,1,2,217
blue,1,4,4,218
orange,1,1,0,219
blue,1,0,0,220
orange,1,3,2,221
blue,1,1,1,222
orange,3,3,1,223
blue,1,0,2,224
orange,2,0,0,225
blue,1,1,3,226
orange,2,2,1,227
blue,1,0,2,228
orange,2,3,3,229
blue,2,0,3,230
orange,3,2,0,231
blue,1,1,1,232
orange,1,4,3,233
blue,1,0,0,234
orange,2,2,1,235
blue,1,1,1,236
orange,2,0,0,237
blue,3,3,3,238
orange,3,4,2,239
blue,3,1,1,240
orange,1,3,4,241
blue,1,0,0,242
orange,2,2,1,243
blue,1,0,3,244
orange,2,4,0,245
blue,3,2,0,246
orange,1,4,3,247
blue,1,1,2,248
orange,1,2,1,249
blue,1,0,1,250
orange,3,2,4,251
blue,1,1,0,252
orange,2,3,2,253
blue,1,0,1,254
orange,1,1,0,255
blue,1,1,2,256
orange,3,1,3,257
blue,1,0,1,258
orange,1,4,3,259
blue,1,1,2,260
orange,3,4,0,261
blue,1,0,1,262
orange,2,2,0,263
blue,1,1,2,264
orange,2,0,1,265
blue,2,2,2,266
orange,1,3,2,267
blue,1,0,1,268
orange,1,2,3,269
blue,1,1,0,270
orange,3,3,1,271
blue,1,0,1,272
orange,2,2,0,273
blue,1,0,2,274
orange,2,1,2,275
blue,1,1,3,276
orange,1,3,2,277
blue,1,0,2,278
orange,2,2,4,279
blue,1,1,1,280
orange,2,4,3,281
blue,1,0,0,282
orange,1,2,1,283
blue,1,1,1,284
orange,3,4,0,285
blue,1,0,2,286
orange,3,3,1,287
blue,2,3,4,288
orange,3,2,2,289
blue,1,1,3,290
orange,3,4,0,291
blue,1,0,4,292
orange,1,3,0,293
blue,1,2,2,294
orange,2,2,4,295
blue,1,0,4,296
orange,1,1,2,297
blue,1,1,3,298
orange,1,0,3,299
blue,1,0,4,300
orange,1,2,1,301
blue,1,2,2,302
orange,1,0,3,303
blue,1,0,0,304
orange,1,1,2,305
blue,1,1,1,306
orange,1,2,1,307
blue,1,0,2,308
orange,1,3,2,309
blue,2,1,3,310
orange,3,2,2,311
blue,3,1,1,312
orange,1,4,3,313
blue,1,1,3,314
orange,1,2,1,315
blue,1,0,4,316
orange,2,3,2,317
blue,2,3,4,318
orange,2,1,3,319
blue,3,0,0,320
orange,3,3,1,321
blue,3,1,1,322
orange,2,3,2,323
blue,2,4,2,324
orange,3,2,0,325
blue,2,3,0,326
orange,1,1,0,327
blue,2,4,2,328
orange,1,4,3,329
blue,2,3,4,330
