Color,Pawn,X,Y,Turn
blue,3,4,2,0
orange,3,4,1,1
blue,1,2,1,2
orange,2,3,2,3
blue,3,3,3,4
orange,2,4,0,5
blue,1,0,3,6
orange,2,3,2,7
blue,3,4,2,8
orange,2,2,4,9
blue,2,2,1,10
orange,2,3,2,11
blue,1,3,0,12
orange,2,1,3,13
blue,3,3,3,14
orange,2,3,2,15
blue,2,1,3,16
orange,1,2,2,17
blue,3,4,4,18
orange,2,1,1,19
blue,2,3,4,20
orange,1,3,1,21
blue,1,2,1,22
orange,1,2,0,23
blue,1,3,0,24
orange,1,0,2,25
blue,2,2,2,26
orange,3,3,2,27
blue,3,3,3,28
orange,3,2,1,29
blue,3,4,4,30
orange,1,2,4,31
blue,2,3,4,32
orange,3,4,3,33
blue,2,2,2,34
orange,2,3,2,35
blue,2,4,1,36
orange,1,0,2,37
blue,1,1,2,38
orange,2,1,1,39
blue,1,0,1,40
orange,1,1,1,41
blue,1,1,0,42
orange,2,3,0,43
blue,3,2,2,44
orange,1,1,2,45
blue,3,3,3,46
orange,1,3,0,47
blue,1,3,2,48
orange,1,1,2,49
blue,1,4,3,50
orange,3,3,2,51
blue,3,0,0,52
orange,3,2,1,53
blue,1,4,3,54
orange,1,0,3,55
blue,2,2,0,56
orange,1,1,2,57
blue,2,4,1,58
orange,3,3,2,59
blue,1,2,1,60
orange,3,4,3,61
blue,2,2,0,62
orange,2,1,1,63
blue,2,0,1,64
orange,2,2,3,65
blue,2,2,0,66
orange,1,0,1,67
blue,3,3,3,68
orange,1,1,0,69
blue,1,4,3,70
orange,3,3,2,71
blue,3,4,4,72
orange,2,4,2,73
blue,2,0,1,74
orange,2,3,0,75
blue,1,2,1,76
orange,1,4,3,77
blue,1,3,2,78
orange,2,2,2,79
blue,3,3,3,80
orange,3,1,0,81
blue,1,2,1,82
orange,2,3,4,83
blue,1,1,0,84
orange,1,3,2,85
blue,3,2,4,86
orange,3,2,1,87
blue,3,4,2,88
orange,1,2,3,89
blue,1,1,0,90
orange,3,0,3,91
blue,2,2,2,92
orange,2,1,3,93
blue,3,2,4,94
orange,2,3,2,95
blue,1,3,2,96
orange,3,2,1,97
blue,2,4,1,98
orange,2,2,0,99
blue,3,0,2,100
orange,1,3,4,101
blue,3,1,1,102
orange,3,3,0,103
blue,3,2,2,104
orange,3,0,3,105
blue,1,3,1,106
orange,1,2,3,107
blue,1,4,2,108
orange,3,2,1,109
blue,1,3,3,110
orange,1,1,4,111
blue,3,1,1,112
orange,2,1,2,113
blue,3,2,2,114
orange,3,1,0,115
blue,3,1,1,116
orange,3,3,2,117
blue,1,2,2,118
orange,2,2,0,119
blue,1,0,4,120
orange,2,3,2,121
blue,2,3,3,122
orange,2,4,4,123
blue,1,3,1,124
orange,2,2,3,125
blue,3,2,0,126
orange,2,0,4,127
blue,2,4,1,128
orange,3,2,1,129
blue,1,4,2,130
orange,1,2,3,131
blue,3,3,1,132
orange,2,1,2,133
blue,3,1,3,134
orange,1,3,4,135
blue,1,3,1,136
orange,3,1,0,137
blue,3,2,2,138
orange,1,4,3,139
blue,2,3,3,140
orange,1,1,0,141
blue,3,0,4,142
orange,3,2,1,143
blue,1,2,2,144
orange,1,3,0,145
blue,2,4,1,146
orange,3,1,0,147
blue,1,4,4,148
orange,2,2,0,149
blue,3,4,0,150
orange,3,0,1,151
blue,3,0,4,152
orange,1,0,3,153
blue,1,1,1,154
orange,1,1,2,155
blue,3,4,0,156
orange,1,3,0,157
blue,1,0,2,158
orange,1,2,1,159
blue,3,0,4,160
orange,3,2,3,161
blue,2,2,2,162
orange,3,1,2,163
blue,2,0,3,164
orange,1,3,2,165
blue,2,2,4,166
orange,1,4,1,167
blue,2,4,3,168
orange,1,1,4,169
blue,2,3,1,170
orange,3,2,3,171
blue,1,1,3,172
orange,3,3,4,173
blue,2,1,0,174
orange,2,4,1,175
blue,2,2,2,176
orange,3,0,1,177
blue,1,0,2,178
orange,1,4,1,179
blue,2,1,4,180
orange,1,3,0,181
blue,1,1,3,182
orange,3,1,2,183
blue,2,3,3,184
orange,1,2,1,185
blue,1,0,2,186
orange,1,1,0,187
blue,1,1,1,188
orange,3,3,0,189
blue,3,1,3,190
orange,2,2,0,191
blue,3,0,2,192
orange,1,3,2,193
blue,1,2,2,194
orange,1,2,3,195
