Color,Pawn,X,Y,Turn
blue,1,1,0,0
orange,2,3,2,1
blue,1,1,2,2
orange,1,4,2,3
blue,1,1,0,4
orange,3,2,3,5
blue,1,1,2,6
orange,2,2,0,7
blue,1,1,0,8
orange,1,4,3,9
blue,1,1,2,10
orange,4,1,4,11
blue,1,0,2,12
orange,4,0,4,13
blue,1,0,4,14
orange,4,0,1,15
blue,1,0,4,16
orange,1,4,4,17
blue,1,0,2,18
orange,3,1,2,19
blue,1,0,3,20
orange,1,2,4,21
blue,1,0,2,22
orange,1,2,1,23
blue,1,0,3,24
orange,1,4,3,25
blue,1,0,2,26
orange,1,0,3,27
blue,1,1,1,28
orange,3,2,3,29
blue,1,1,0,30
orange,1,1,4,31
blue,1,1,2,32
orange,2,3,2,33
blue,1,1,0,34
orange,1,1,3,35
blue,1,1,2,36
orange,4,0,0,37
blue,1,0,2,38
orange,3,1,4,39
blue,1,0,1,40
orange,1,1,0,41
blue,1,0,4,42
orange,4,0,2,43
blue,1,1,4,44
orange,4,2,2,45
blue,1,1,2,46
orange,1,2,0,47
blue,1,0,2,48
orange,3,2,3,49
blue,1,0,4,50
orange,1,1,1,51
blue,1,0,1,52
orange,1,4,4,53
blue,1,0,4,54
orange,2,1,1,55
blue,1,0,1,56
orange,1,3,3,57
blue,1,0,4,58
orange,1,2,4,59
blue,1,0,1,60
orange,2,3,0,61
blue,1,0,4,62
orange,3,4,1,63
blue,1,0,1,64
orange,3,3,2,65
blue,1,0,2,66
orange,2,1,1,67
blue,1,0,1,68
orange,1,1,3,69
blue,1,0,2,70
orange,1,0,3,71
blue,1,0,1,72
orange,3,1,4,73
blue,1,0,2,74
orange,1,3,0,75
blue,1,0,4,76
orange,1,3,2,77
blue,1,0,1,78
orange,1,2,3,79
blue,1,0,2,80
orange,2,3,0,81
blue,1,0,1,82
orange,1,2,2,83
blue,1,0,2,84
orange,2,1,1,85
blue,1,0,4,86
orange,4,2,4,87
blue,1,0,1,88
orange,1,2,1,89
blue,1,0,4,90
orange,4,4,4,91
blue,1,0,1,92
orange,4,4,2,93
blue,1,0,4,94
orange,1,2,3,95
blue,1,0,1,96
orange,1,4,1,97
blue,1,0,4,98
orange,2,3,0,99
blue,1,0,1,100
orange,1,3,1,101
blue,1,0,4,102
orange,1,2,0,103
blue,1,0,1,104
orange,1,2,1,105
blue,1,0,4,106
orange,1,0,3,107
blue,1,1,4,108
orange,4,4,3,109
blue,1,1,0,110
orange,1,1,3,111
blue,1,0,1,112
orange,3,3,2,113
blue,1,0,2,114
orange,1,2,2,115
blue,1,0,1,116
orange,4,0,3,117
blue,1,1,0,118
orange,3,2,1,119
blue,1,1,2,120
orange,4,3,3,121
blue,1,0,2,122
orange,1,3,3,123
blue,1,0,4,124
orange,4,3,1,125
blue,1,0,1,126
orange,2,1,1,127
blue,1,0,2,128
orange,3,4,3,129
blue,1,0,1,130
orange,3,2,1,131
blue,1,0,2,132
orange,3,1,2,133
blue,1,0,4,134
orange,1,4,1,135
blue,1,0,1,136
orange,1,4,2,137
blue,1,0,4,138
orange,4,2,1,139
blue,1,0,3,140
orange,1,4,3,141
blue,1,0,4,142
orange,1,4,0,143
blue,1,0,3,144
orange,1,4,3,145
blue,1,0,4,146
orange,1,4,1,147
blue,1,0,1,148
orange,1,3,0,149
blue,1,0,4,150
orange,2,0,3,151
blue,1,1,3,152
orange,4,4,1,153
blue,1,0,3,154
orange,1,2,0,155
blue,1,0,4,156
orange,4,2,1,157
blue,1,1,3,158
orange,2,1,1,159
blue,1,1,2,160
orange,4,3,1,161
blue,1,0,2,162
orange,3,2,3,163
blue,1,0,4,164
orange,3,0,1,165
blue,1,0,2,166
orange,3,2,3,167
blue,1,0,4,168
orange,3,0,1,169
blue,1,0,2,170
orange,1,2,3,171
blue,1,0,3,172
orange,1,1,3,173
blue,1,0,2,174
orange,1,4,0,175
blue,1,1,1,176
orange,4,4,1,177
blue,1,1,0,178
orange,2,2,3,179
blue,1,1,2,180
orange,2,4,2,181
blue,1,0,2,182
orange,1,1,3,183
blue,1,0,3,184
orange,1,2,2,185
blue,1,0,2,186
orange,1,2,0,187
blue,1,0,3,188
orange,4,3,1,189
blue,1,0,2,190
orange,4,3,2,191
blue,1,0,3,192
orange,1,1,1,193
blue,1,0,2,194
orange,4,3,4,195
blue,1,0,3,196
orange,1,0,1,197
blue,1,1,3,198
orange,1,1,2,199
blue,1,0,3,200
orange,4,0,4,201
blue,1,0,2,202
orange,4,0,3,203
blue,1,1,3,204
orange,1,0,3,205
blue,1,0,4,206
orange,4,3,3,207
blue,1,0,2,208
orange,4,3,2,209
blue,1,0,3,210
orange,1,3,0,211
blue,1,0,2,212
orange,1,3,2,213
blue,1,0,3,214
orange,3,1,2,215
blue,1,0,4,216
orange,4,3,1,217
blue,1,0,1,218
orange,1,2,2,219
blue,1,0,2,220
orange,1,4,4,221
blue,1,0,1,222
orange,1,4,2,223
blue,1,0,2,224
orange,1,2,4,225
blue,1,0,1,226
orange,3,2,3,227
blue,1,0,2,228
orange,4,4,1,229
blue,1,0,1,230
orange,1,1,4,231
blue,1,0,2,232
orange,4,2,1,233
blue,1,0,4,234
orange,1,0,3,235
blue,1,1,4,236
orange,1,1,3,237
blue,1,0,4,238
orange,2,2,3,239
blue,1,0,1,240
orange,3,1,2,241
blue,1,0,2,242
orange,1,0,4,243
blue,1,1,1,244
orange,4,2,4,245
blue,1,1,0,246
orange,1,0,1,247
blue,1,2,0,248
orange,3,2,3,249
blue,1,2,1,250
orange,1,1,2,251
blue,1,1,0,252
orange,2,4,2,253
blue,1,2,0,254
orange,1,1,0,255
blue,1,2,2,256
orange,4,4,4,257
blue,1,1,1,258
orange,3,3,2,259
blue,1,1,2,260
orange,2,2,3,261
blue,1,1,1,262
orange,1,2,1,263
blue,1,1,0,264
orange,1,4,3,265
blue,1,1,2,266
orange,1,2,1,267
blue,1,0,2,268
orange,4,4,2,269
blue,1,0,4,270
orange,1,0,1,271
blue,1,0,3,272
orange,1,1,0,273
blue,1,0,4,274
orange,1,0,0,275
blue,1,0,2,276
orange,1,2,2,277
blue,1,0,4,278
orange,2,1,1,279
blue,1,0,1,280
orange,1,3,2,281
blue,1,0,4,282
orange,1,2,2,283
blue,1,0,1,284
orange,2,0,3,285
blue,1,0,2,286
orange,1,4,4,287
blue,1,1,1,288
orange,3,1,4,289
blue,1,1,0,290
orange,1,1,1,291
blue,1,0,1,292
orange,4,4,4,293
blue,1,0,2,294
orange,2,2,4,295
blue,1,0,1,296
orange,3,4,1,297
blue,1,0,4,298
