Color,Pawn,X,Y,Turn
blue,3,2,1,0
orange,1,3,3,1
blue,1,3,2,2
orange,2,2,2,3
blue,1,4,1,4
orange,2,1,4,5
blue,1,2,3,6
orange,3,2,2,7
blue,2,3,2,8
orange,1,2,2,9
blue,1,3,4,10
orange,1,1,1,11
blue,1,2,3,12
orange,2,2,2,13
blue,1,3,4,14
orange,2,0,1,15
blue,2,4,4,16
orange,2,2,2,17
blue,1,2,3,18
orange,1,2,2,19
blue,1,1,4,20
orange,2,3,0,21
blue,2,2,3,22
orange,3,0,4,23
blue,2,4,4,24
orange,3,4,0,25
blue,2,2,3,26
orange,2,2,2,27
blue,3,3,2,28
orange,2,1,0,29
blue,1,3,2,30
orange,3,0,4,31
blue,3,4,1,32
orange,3,3,1,33
blue,2,0,2,34
orange,1,3,2,35
blue,2,2,1,36
orange,2,0,2,37
blue,2,4,2,38
orange,2,2,3,39
blue,3,3,0,40
orange,1,2,1,41
blue,1,4,1,42
orange,1,3,2,43
blue,3,1,2,44
orange,2,0,4,45
blue,3,2,1,46
orange,3,1,3,47
blue,2,3,0,48
orange,3,0,2,49
blue,3,4,3,50
orange,1,2,3,51
blue,2,2,2,52
orange,3,1,3,53
blue,2,0,3,54
orange,1,3,2,55
blue,2,2,4,56
orange,3,3,1,57
blue,3,3,4,58
orange,1,2,1,59
blue,2,3,2,60
orange,1,3,0,61
blue,3,0,1,62
orange,1,0,3,63
blue,1,3,2,64
orange,3,2,2,65
blue,1,2,3,66
orange,1,2,1,67
blue,1,1,2,68
orange,1,3,0,69
blue,2,4,0,70
orange,1,2,1,71
blue,3,1,0,72
orange,3,1,3,73
blue,2,3,2,74
orange,2,2,3,75
blue,1,3,4,76
orange,1,3,2,77
blue,1,2,3,78
orange,2,1,1,79
blue,1,0,0,80
orange,1,4,1,81
blue,2,2,4,82
orange,2,3,0,83
blue,3,2,1,84
orange,2,1,1,85
blue,1,3,3,86
orange,2,0,3,87
blue,1,4,2,88
orange,3,3,1,89
blue,3,3,0,90
orange,1,3,2,91
blue,3,2,1,92
orange,3,2,0,93
blue,2,4,3,94
orange,2,1,1,95
blue,3,1,2,96
orange,1,2,3,97
blue,3,0,3,98
orange,1,0,1,99
blue,3,3,0,100
orange,2,3,2,101
blue,1,2,4,102
orange,2,1,1,103
blue,3,2,1,104
orange,1,2,3,105
blue,2,2,2,106
orange,1,1,4,107
blue,3,3,0,108
orange,1,2,3,109
blue,3,2,1,110
orange,2,3,2,111
blue,3,0,3,112
orange,1,1,4,113
blue,2,3,0,114
orange,1,2,3,115
blue,1,1,3,116
orange,2,2,4,117
blue,1,0,4,118
orange,3,0,2,119
blue,3,2,1,120
orange,3,1,1,121
blue,3,1,2,122
orange,1,4,1,123
blue,2,4,2,124
orange,1,2,3,125
blue,1,1,3,126
orange,1,3,2,127
blue,3,2,3,128
orange,2,4,3,129
blue,1,0,2,130
orange,2,2,2,131
blue,3,1,2,132
orange,2,0,3,133
blue,3,3,4,134
orange,2,2,4,135
blue,3,4,3,136
orange,1,2,3,137
blue,1,1,1,138
orange,3,2,0,139
blue,1,0,2,140
orange,1,1,4,141
blue,3,1,0,142
orange,1,0,3,143
blue,2,3,4,144
orange,1,2,1,145
blue,3,3,2,146
orange,3,1,1,147
blue,3,4,1,148
orange,1,1,2,149
blue,1,1,1,150
orange,3,2,2,151
blue,1,0,4,152
orange,2,0,3,153
blue,3,3,2,154
orange,2,2,4,155
blue,3,1,0,156
orange,2,3,2,157
blue,2,1,3,158
orange,3,4,4,159
blue,2,0,1,160
orange,1,3,4,161
blue,2,2,2,162
orange,2,1,1,163
blue,3,0,1,164
orange,2,2,3,165
blue,3,1,2,166
orange,1,2,3,167
blue,1,3,1,168
orange,1,4,1,169
blue,2,0,1,170
orange,1,2,3,171
blue,1,0,4,172
orange,2,4,4,173
blue,1,4,0,174
orange,2,2,3,175
blue,2,1,3,176
orange,1,3,2,177
blue,1,3,1,178
orange,1,4,3,179
blue,2,0,1,180
orange,2,4,4,181
blue,3,2,1,182
orange,2,2,3,183
blue,1,2,2,184
orange,2,3,1,185
blue,1,1,3,186
orange,1,3,2,187
blue,3,1,2,188
orange,2,2,3,189
blue,1,0,2,190
orange,3,1,1,191
blue,1,1,1,192
orange,1,4,3,193
blue,2,1,3,194
orange,3,0,0,195
blue,3,0,3,196
orange,1,3,2,197
blue,1,2,2,198
orange,2,0,2,199
blue,1,0,4,200
orange,3,2,2,201
blue,3,2,1,202
orange,2,1,0,203
blue,3,4,3,204
orange,3,4,0,205
blue,2,0,1,206
orange,2,2,2,207
blue,2,2,0,208
orange,2,3,0,209
blue,3,3,4,210
orange,3,2,2,211
blue,2,0,1,212
orange,2,1,1,213
blue,2,1,3,214
orange,3,3,1,215
blue,2,0,1,216
orange,1,1,4,217
blue,3,2,3,218
orange,1,4,1,219
blue,3,1,2,220
orange,2,0,3,221
blue,2,2,0,222
orange,3,4,0,223
blue,3,2,3,224
orange,3,2,2,225
blue,1,3,1,226
orange,3,1,1,227
blue,3,1,2,228
orange,1,3,0,229
blue,3,0,1,230
orange,1,1,2,231
blue,2,3,2,232
orange,3,0,2,233
blue,1,2,0,234
orange,1,2,3,235
blue,2,1,1,236
orange,3,1,3,237
blue,1,4,2,238
orange,1,1,4,239
blue,3,1,2,240
orange,3,4,0,241
blue,1,2,4,242
orange,1,0,3,243
blue,3,3,0,244
orange,1,1,2,245
blue,1,1,3,246
orange,3,2,2,247
blue,2,3,0,248
orange,1,3,4,249
blue,1,2,2,250
orange,2,1,1,251
blue,1,0,4,252
orange,1,0,1,253
blue,3,2,1,254
orange,3,4,4,255
blue,2,0,2,256
orange,2,3,2,257
blue,2,2,3,258
orange,2,2,4,259
blue,3,0,3,260
orange,2,3,2,261
blue,2,4,2,262
orange,1,1,0,263
blue,3,1,4,264
orange,2,4,4,265
blue,2,3,0,266
orange,1,2,1,267
blue,3,3,2,268
orange,1,3,2,269
blue,2,2,2,270
orange,1,2,1,271
blue,2,1,0,272
orange,1,3,2,273
blue,2,0,2,274
orange,1,1,0,275
blue,1,2,2,276
orange,1,2,1,277
blue,1,0,4,278
orange,1,3,2,279
blue,1,2,2,280
orange,3,0,0,281
