Color,Pawn,X,Y,Turn
blue,1,4,2,0
orange,3,2,2,1
blue,2,3,1,2
orange,2,2,2,3
blue,2,1,2,4
orange,3,1,1,5
blue,2,0,0,6
orange,1,0,3,7
blue,3,3,1,8
orange,1,2,1,9
blue,3,4,0,10
orange,2,3,2,11
blue,1,2,4,12
orange,2,4,0,13
blue,3,2,2,14
orange,3,2,0,15
blue,3,0,4,16
orange,1,3,2,17
blue,3,3,1,18
orange,1,4,3,19
blue,3,0,4,20
orange,3,3,1,21
blue,2,1,2,22
orange,3,4,0,23
blue,1,1,3,24
orange,1,3,4,25
blue,2,0,0,26
orange,1,0,1,27
blue,1,4,0,28
orange,3,1,3,29
blue,2,2,1,30
orange,1,1,0,31
blue,2,4,0,32
orange,3,2,2,33
blue,1,1,3,34
orange,1,2,1,35
blue,1,4,0,36
orange,3,1,3,37
blue,2,3,2,38
orange,2,2,3,39
blue,1,4,3,40
orange,2,4,2,41
blue,2,2,0,42
orange,3,0,2,43
blue,2,1,2,44
orange,2,2,3,45
blue,3,4,0,46
orange,1,1,2,47
blue,2,3,1,48
orange,1,1,3,49
blue,2,1,2,50
orange,1,0,2,51
blue,3,0,4,52
orange,3,1,3,53
blue,1,3,4,54
orange,1,3,1,55
blue,1,0,1,56
orange,2,4,4,57
blue,1,1,0,58
orange,1,1,3,59
blue,2,3,3,60
orange,1,4,0,61
blue,1,4,3,62
orange,3,3,1,63
blue,1,3,4,64
orange,1,1,3,65
blue,1,4,3,66
orange,3,2,0,67
blue,1,3,4,68
orange,3,0,2,69
blue,2,4,1,70
orange,3,2,4,71
blue,2,3,3,72
orange,1,4,0,73
